trial,category,coverage,count,knn,ft,pre,fc,pc,own
shapenet42,airplane,0.0,0.0,1.1590341333961185,0.0770202875137329,0.0765052437782287,1,1,loudspeaker
shapenet46,airplane,0.0,0.0,0.5329417020388824,0.0265084505081176,0.0792386829853057,0,1,table
shapenet49,airplane,-0.7675283643313486,3.0,0.17189019642990908,0.0370519757270813,0.0554926395416259,1,1,airplane
shapenet50,airplane,0.0,0.0,0.9996997749599464,0.0326305031776428,-0.00068199634552,1,0,display
shapenet53,airplane,0.0,0.0,0.8386892615509748,-0.0284209847450256,-0.0308929681777954,0,0,car
shapenet55,airplane,0.0,0.0,0.8835535702161105,0.0964634418487548,0.0740576386451721,1,1,telephone
shapenet57,airplane,0.0,0.0,1.087764756368772,0.2946511507034302,0.3005216121673584,1,1,loudspeaker
shapenet62,airplane,0.0,0.0,1.174794472566023,-0.1052689850330352,-0.1298196613788604,0,0,loudspeaker
shapenet71,airplane,-5.472313124924569,237.33333333333334,0.04403483110188455,0.2370409220457077,0.1618518531322479,1,1,airplane
shapenet72,airplane,-6.0284487592749185,415.3333333333333,0.018336954749934287,0.4735458325594663,0.1164968013763427,1,1,airplane
shapenet73,airplane,0.0,0.0,0.21903406199533393,-0.0177794098854064,-0.0672264099121093,0,0,watercraft
shapenet74,airplane,0.0,0.0,0.4586432868187471,-0.0487099587917327,-0.0312279760837554,0,0,chair
